12.000000,1.000000,0.250000,0.416667,0.166667,0.166667.1,0.000000,1.000000.1
89.0,1.0,0.0,0.022472,0.134831,0.123596,0.0,1.0
152.0,0.0,0.0,0.223684,0.046053,0.210526,0.0,1.0
47.0,0.0,0.0,0.212766,0.085106,0.085106,0.0,1.0
60.0,1.0,0.0,0.066667,0.133333,0.1,0.0,1.0
40.0,1.0,0.0,0.025,0.1,0.175,0.0,1.0
58.0,1.0,0.0,0.017241,0.086207,0.137931,0.0,1.0
85.0,1.0,0.0,0.023529,0.141176,0.105882,0.0,1.0
100.0,2.0,0.0,0.02,0.14,0.11,0.0,1.0
49.0,1.0,0.0,0.102041,0.142857,0.102041,0.0,1.0
75.0,0.0,0.0,0.026667,0.08,0.173333,0.0,1.0
48.0,1.0,0.0,0.083333,0.145833,0.104167,0.0,1.0
75.0,0.0,0.0,0.026667,0.08,0.173333,0.0,1.0
48.0,1.0,0.0,0.083333,0.145833,0.104167,0.0,1.0
109.0,0.0,0.165138,0.045872,0.100917,0.082569,0.0,1.0
22.0,0.0,0.090909,0.090909,0.0,0.045455,0.0,1.0
132.0,1.0,0.212121,0.128788,0.068182,0.090909,0.0,1.0
125.0,2.0,0.224,0.12,0.04,0.096,0.0,1.0
37.0,1.0,0.0,0.0,0.081081,0.027027,0.0,1.0
123.0,1.0,0.227642,0.121951,0.04065,0.097561,0.0,1.0
49.0,1.0,0.0,0.0,0.061224,0.040816,0.0,1.0
123.0,1.0,0.227642,0.121951,0.04065,0.097561,0.0,1.0
56.0,1.0,0.0,0.0,0.053571,0.053571,0.0,1.0
142.0,2.0,0.197183,0.119718,0.06338,0.084507,0.0,1.0
142.0,2.0,0.197183,0.119718,0.06338,0.084507,0.0,1.0
26.0,0.0,0.153846,0.0,0.0,0.038462,0.0,1.0
162.0,2.0,0.17284,0.092593,0.061728,0.080247,0.0,1.0
96.0,0.0,0.0,0.15625,0.0625,0.145833,0.0,1.0
56.0,1.0,0.0,0.0,0.053571,0.089286,0.0,1.0
62.0,1.0,0.0,0.0,0.080645,0.129032,0.0,1.0
73.0,1.0,0.0,0.013699,0.082192,0.109589,0.0,1.0
81.0,1.0,0.0,0.0,0.074074,0.098765,0.0,1.0
67.0,1.0,0.0,0.0,0.089552,0.119403,0.0,1.0
78.0,1.0,0.0,0.0,0.102564,0.115385,0.0,1.0
111.0,1.0,0.036036,0.009009,0.072072,0.045045,0.0,1.0
91.0,1.0,0.065934,0.010989,0.065934,0.098901,0.0,1.0
